district,state,latitude,longitude,soil_type,soil_n,soil_p,soil_k,soil_ph,soil_moisture,humidity,avg_temperature,seasonal_rainfall,climate_season,previous_crop,crop_name,crop_duration_days,crop_water_requirement,yield_tonnes_per_hectare,risk_score
Guntur,Andhra Pradesh,17.4861,78.5732,Laterite,20,33,61,6.0,20,42,36,175,Zaid,Fallow,Mustard,110,Low,0.61,0.402
Howrah,West Bengal,26.3936,87.0304,Red,54,50,68,6.4,20,34,29,393,Zaid,Chilli,Brinjal,146,Medium,29.04,0.474
Kota,Rajasthan,24.2883,77.0596,Alluvial,73,14,67,7.3,20,43,30,103,Zaid,Cauliflower,Maize,88,Medium,4.64,0.278
Bhagalpur,Bihar,25.7028,87.4835,Red,32,11,61,5.7,20,42,31,350,Zaid,Tomato,Groundnut,115,Low,2.08,0.375
Kurnool,Andhra Pradesh,15.422,83.6787,Alluvial,44,33,23,7.2,20,51,22,523,Rabi,Soybean,Groundnut,96,Low,1.63,0.423
Madurai,Tamil Nadu,8.8723,77.8495,Alluvial,66,43,42,7.1,28,94,30,1434,Kharif,Mustard,Cauliflower,85,High,22.02,0.616
Meerut,Uttar Pradesh,29.9363,82.0716,Red,51,57,53,5.7,20,46,17,412,Rabi,Cabbage,Chilli,122,Medium,2.05,0.48
Rourkela,Odisha,22.4571,82.0718,Clay,66,43,15,7.2,29,70,27,1227,Kharif,Tomato,Cauliflower,81,High,18.87,0.462
Salem,Tamil Nadu,8.8634,78.5545,Sandy,32,55,53,8.2,20,58,22,283,Rabi,Rice,Brinjal,130,Medium,12.69,0.583
Gwalior,Madhya Pradesh,22.3369,80.525,Sandy,27,54,30,8.0,20,42,21,385,Rabi,Potato,Tomato,101,Medium,27.52,0.747
Khammam,Telangana,18.8644,78.6745,Black,35,40,34,7.9,20,86,34,871,Kharif,Cabbage,Maize,87,Medium,4.9,0.39
Mangaluru,Karnataka,18.4167,78.0178,Red,65,21,64,6.0,23,90,35,1481,Kharif,Chilli,Sugarcane,340,Very High,66.1,0.34
Khammam,Telangana,16.9343,78.1482,Black,27,19,27,7.6,34,84,33,1435,Kharif,Mustard,Soybean,107,Medium,2.88,0.554
Nellore,Andhra Pradesh,13.1513,80.565,Alluvial,38,59,37,7.8,20,46,41,165,Zaid,Cauliflower,Cotton,175,Low,2.19,0.432
Karimnagar,Telangana,17.39,77.4092,Black,58,48,33,7.8,20,55,27,255,Rabi,Groundnut,Sugarcane,343,Very High,82.2,0.549
Tiruchirappalli,Tamil Nadu,8.5572,79.5687,Mountain,30,60,28,6.0,20,62,29,347,Rabi,Rice,Tomato,113,Medium,27.31,0.586
Rajkot,Gujarat,23.7441,74.0186,Alluvial,57,35,48,6.9,28,93,31,1435,Kharif,Cotton,Wheat,141,Medium,3.85,0.334
Nellore,Andhra Pradesh,14.296,78.8543,Clay,35,27,43,6.7,30,78,33,1280,Kharif,Fallow,Rice,110,High,6.06,0.166
Warangal,Telangana,17.1073,80.1511,Alluvial,27,44,22,6.6,20,32,42,308,Zaid,Wheat,Mustard,140,Low,0.99,0.303
Howrah,West Bengal,25.6107,88.2143,Alluvial,31,27,23,7.6,20,37,32,311,Zaid,Fallow,Onion,128,Medium,11.01,0.72
Hubballi,Karnataka,12.5411,77.1746,Sandy,59,28,35,8.1,20,81,38,821,Kharif,Maize,Potato,97,Medium,12.12,0.341
Indore,Madhya Pradesh,21.6198,77.2933,Alluvial,56,57,62,6.8,20,68,25,309,Rabi,Cauliflower,Brinjal,138,Medium,28.93,0.381
Mangaluru,Karnataka,17.2556,74.8091,Sandy,60,48,69,8.5,24,81,31,1502,Kharif,Onion,Potato,119,Medium,15.88,0.506
Surat,Gujarat,22.5476,71.412,Red,22,16,55,6.6,20,69,15,263,Rabi,Potato,Maize,90,Medium,4.3,0.518
Nizamabad,Telangana,17.1379,78.6445,Sandy,32,50,24,8.2,24,76,34,1523,Kharif,Mustard,Cabbage,111,High,16.9,0.674
Coimbatore,Tamil Nadu,10.1817,77.0376,Alluvial,67,39,46,7.0,20,57,19,242,Rabi,Maize,Mustard,128,Low,1.6,0.268
Gwalior,Madhya Pradesh,24.4863,81.6656,Sandy,56,60,36,8.3,20,60,33,165,Zaid,Cabbage,Brinjal,130,Medium,14.48,0.615
Gwalior,Madhya Pradesh,21.5465,79.8283,Clay,45,27,27,6.5,23,91,32,987,Kharif,Chilli,Rice,103,High,6.31,0.382
Faridabad,Haryana,30.1133,76.7898,Alluvial,78,12,29,7.8,35,78,32,1773,Kharif,Chilli,Maize,84,Medium,7.39,0.494
Kota,Rajasthan,28.029,71.3762,Sandy,36,10,52,7.6,20,60,11,343,Rabi,Wheat,Cabbage,93,High,15.96,0.334
Rourkela,Odisha,22.2833,84.4082,Alluvial,61,22,53,7.7,20,53,31,251,Zaid,Chilli,Brinjal,121,Medium,28.59,0.396
Bhavnagar,Gujarat,24.4902,72.2819,Black,53,13,53,8.3,20,56,25,468,Rabi,Groundnut,Tomato,104,Medium,28.91,0.661
Faridabad,Haryana,28.776,76.7888,Loamy,34,19,70,6.3,20,42,31,286,Zaid,Fallow,Cotton,194,Low,2.58,0.698
Karimnagar,Telangana,18.642,77.1094,Laterite,73,11,38,4.5,39,83,34,1969,Kharif,Maize,Tomato,106,Medium,30.28,0.606
Bathinda,Punjab,30.9473,75.923,Alluvial,54,44,45,7.3,20,42,29,287,Zaid,Maize,Sugarcane,337,Very High,70.26,0.458
Lucknow,Uttar Pradesh,28.037,80.384,Alluvial,67,24,68,8.0,20,54,32,385,Zaid,Groundnut,Cabbage,104,High,23.11,0.345
Darbhanga,Bihar,24.9024,85.817,Alluvial,49,28,17,7.2,34,81,32,1742,Kharif,Fallow,Onion,121,Medium,15.94,0.498
Bardhaman,West Bengal,22.7991,88.9347,Black,76,34,67,7.9,32,77,33,1373,Kharif,Soybean,Cotton,159,Low,4.22,0.646
Gwalior,Madhya Pradesh,22.5141,78.7707,Alluvial,68,21,46,6.7,36,85,30,1843,Kharif,Maize,Onion,135,Medium,14.82,0.458
Jabalpur,Madhya Pradesh,23.8505,80.8646,Alluvial,20,34,49,7.0,23,75,26,1150,Kharif,Onion,Cauliflower,94,High,23.49,0.435
Visakhapatnam,Andhra Pradesh,14.5726,79.4246,Clay,72,10,57,7.3,20,31,40,311,Zaid,Soybean,Rice,123,High,3.43,0.337
Gwalior,Madhya Pradesh,21.3633,74.2667,Mountain,72,41,44,5.8,20,44,36,265,Zaid,Cauliflower,Cabbage,88,High,16.38,0.8
Mumbai,Maharashtra,20.3784,76.7898,Clay,38,50,54,6.1,20,62,24,298,Rabi,Wheat,Rice,94,High,5.79,0.43
Ajmer,Rajasthan,29.2896,72.9911,Alluvial,62,26,29,6.7,20,49,17,391,Rabi,Fallow,Potato,107,Medium,26.01,0.362
Visakhapatnam,Andhra Pradesh,16.1939,83.9202,Sandy,62,59,64,8.5,20,64,21,282,Rabi,Cabbage,Groundnut,98,Low,1.05,0.542
Darbhanga,Bihar,26.2366,83.843,Alluvial,20,25,19,7.8,20,64,12,258,Rabi,Wheat,Cabbage,101,High,21.54,0.536
Warangal,Telangana,16.9578,77.3918,Laterite,26,60,22,5.3,28,88,38,1427,Kharif,Tomato,Potato,86,Medium,17.98,0.687
Allahabad,Uttar Pradesh,26.9032,82.6549,Alluvial,31,43,70,6.9,20,74,27,972,Kharif,Potato,Groundnut,116,Low,3.2,0.353
Visakhapatnam,Andhra Pradesh,15.6089,81.7506,Alluvial,38,29,33,7.5,20,42,43,296,Zaid,Mustard,Cauliflower,89,High,16.62,0.8
Patna,Bihar,26.7463,87.0595,Alluvial,68,51,63,7.3,20,46,30,355,Zaid,Groundnut,Mustard,111,Low,1.45,0.255
Cuttack,Odisha,17.6184,86.2764,Sandy,29,53,44,7.9,20,92,38,991,Kharif,Cabbage,Potato,93,Medium,19.62,0.319
Mangaluru,Karnataka,13.8087,78.2804,Alluvial,67,44,18,7.2,20,42,20,532,Rabi,Wheat,Rice,138,High,5.5,0.236
Hubballi,Karnataka,16.8976,77.8405,Clay,67,44,66,6.8,20,37,37,349,Zaid,Potato,Rice,117,High,3.62,0.283
Gaya,Bihar,24.9576,87.8362,Loamy,28,36,53,7.2,20,56,38,253,Zaid,Brinjal,Sugarcane,340,Very High,48.23,0.469
Kota,Rajasthan,28.6612,70.3351,Red,71,43,35,6.6,20,38,32,161,Zaid,Soybean,Cauliflower,97,High,13.62,0.587
Bathinda,Punjab,30.479,76.4857,Alluvial,40,49,29,6.8,20,59,34,153,Zaid,Soybean,Maize,89,Medium,4.37,0.322
Rohtak,Haryana,29.3319,76.3016,Black,50,34,19,7.8,20,58,13,555,Rabi,Mustard,Cotton,200,Low,2.22,0.564
Warangal,Telangana,19.0327,78.5205,Black,42,23,57,7.2,20,42,28,531,Rabi,Brinjal,Rice,124,High,4.43,0.325
Vijayawada,Andhra Pradesh,17.5672,80.0538,Black,52,60,25,8.2,44,82,32,1837,Kharif,Maize,Sugarcane,303,Very High,76.44,0.5
Rohtak,Haryana,28.0742,75.9696,Alluvial,37,58,15,6.5,20,33,36,121,Zaid,Cabbage,Mustard,133,Low,0.84,0.492
Karnal,Haryana,29.9054,75.5704,Red,78,40,51,6.5,20,51,31,244,Zaid,Fallow,Chilli,134,Medium,2.41,0.547
Salem,Tamil Nadu,13.2833,79.1436,Black,56,19,42,7.6,20,54,27,368,Rabi,Chilli,Cotton,163,Low,1.81,0.462
Vijayawada,Andhra Pradesh,14.0757,79.6467,Black,73,51,58,7.9,20,40,21,474,Rabi,Sugarcane,Wheat,147,Medium,7.12,0.296
Chennai,Tamil Nadu,8.2224,78.1961,Black,65,19,46,8.0,20,32,44,368,Zaid,Mustard,Soybean,104,Medium,1.57,0.729
Bengaluru,Karnataka,14.581,77.3392,Black,75,30,51,8.4,20,62,29,407,Rabi,Maize,Wheat,138,Medium,3.46,0.412
Durgapur,West Bengal,26.303,87.0001,Alluvial,39,51,59,7.9,20,49,34,166,Zaid,Tomato,Wheat,139,Medium,2.74,0.561
Kolkata,West Bengal,21.8288,87.9337,Black,34,30,50,7.2,20,53,35,324,Zaid,Rice,Cotton,162,Low,2.66,0.53
Thrissur,Kerala,11.1073,75.4646,Alluvial,48,16,66,7.9,20,60,19,458,Rabi,Cotton,Wheat,122,Medium,5.33,0.348
Kollam,Kerala,10.1643,77.3666,Clay,48,44,43,7.2,20,44,24,285,Rabi,Potato,Cauliflower,101,High,18.7,0.588
Patna,Bihar,25.8464,83.6873,Mountain,67,46,49,6.8,28,93,33,1442,Kharif,Rice,Chilli,137,Medium,1.82,0.423
Siliguri,West Bengal,23.7988,88.7915,Mountain,33,25,44,6.3,20,72,27,875,Kharif,Tomato,Cabbage,83,High,36.02,0.233
Amritsar,Punjab,30.4566,75.698,Alluvial,68,14,57,7.4,20,36,33,338,Zaid,Potato,Groundnut,111,Low,2.03,0.41
Hubballi,Karnataka,17.9948,76.156,Black,50,19,55,8.0,20,54,28,371,Rabi,Brinjal,Cotton,209,Low,1.83,0.456
Bhubaneswar,Odisha,18.0273,87.4602,Sandy,69,27,29,8.9,20,60,36,343,Zaid,Fallow,Mustard,108,Low,0.56,0.496
Rajkot,Gujarat,20.0065,69.1877,Sandy,56,21,67,8.5,20,60,39,161,Zaid,Maize,Cabbage,95,High,11.6,0.557
Nagpur,Maharashtra,20.8583,78.5619,Alluvial,53,10,24,7.4,38,83,30,1934,Kharif,Groundnut,Cabbage,116,High,14.82,0.319
Varanasi,Uttar Pradesh,24.9076,82.2149,Clay,77,47,40,6.9,20,56,18,270,Rabi,Maize,Rice,121,High,5.34,0.46
Gaya,Bihar,26.5667,87.6286,Red,23,23,29,6.3,31,85,29,1990,Kharif,Potato,Onion,123,Medium,21.52,0.273
Khammam,Telangana,18.3529,78.412,Sandy,73,59,66,8.1,20,44,34,163,Zaid,Sugarcane,Soybean,119,Medium,1.27,0.398
Rajkot,Gujarat,20.7499,71.1635,Loamy,42,49,42,7.3,20,42,25,229,Rabi,Chilli,Wheat,162,Medium,3.27,0.328
Faridabad,Haryana,29.5842,77.4884,Alluvial,46,32,48,7.7,20,37,26,234,Zaid,Mustard,Sugarcane,311,Very High,74.1,0.538
Bhopal,Madhya Pradesh,21.2028,75.2035,Sandy,59,12,30,8.9,20,30,40,166,Zaid,Chilli,Groundnut,95,Low,0.64,0.51
Bathinda,Punjab,29.6497,74.2786,Mountain,35,24,29,5.6,20,54,35,392,Zaid,Groundnut,Cabbage,115,High,20.66,0.328
Kolkata,West Bengal,23.7546,87.6028,Red,40,33,17,6.6,20,70,26,1278,Kharif,Rice,Chilli,132,Medium,2.95,0.453
Gurugram,Haryana,30.1236,76.8541,Clay,40,48,53,6.3,20,42,27,284,Zaid,Cauliflower,Groundnut,112,Low,2.03,0.45
Thrissur,Kerala,10.0625,74.6883,Sandy,56,31,44,8.5,20,55,36,242,Zaid,Soybean,Tomato,119,Medium,10.27,0.8
Hubballi,Karnataka,14.0026,76.0051,Red,48,57,41,6.6,20,65,24,283,Rabi,Fallow,Groundnut,113,Low,1.82,0.597
Aurangabad,Maharashtra,16.4199,72.9596,Alluvial,78,36,40,7.0,21,87,31,1064,Kharif,Brinjal,Mustard,130,Low,1.24,0.621
Durgapur,West Bengal,22.7412,86.6985,Black,26,53,64,8.1,46,75,25,1927,Kharif,Chilli,Wheat,146,Medium,5.06,0.508
Bhubaneswar,Odisha,19.8726,86.7694,Laterite,73,47,29,6.3,20,68,21,353,Rabi,Onion,Cabbage,94,High,32.69,0.261
Jaipur,Rajasthan,27.6387,76.7078,Red,28,38,25,6.6,31,91,31,1958,Kharif,Soybean,Sugarcane,361,Very High,72.89,0.402
Bhubaneswar,Odisha,20.4944,83.3533,Black,74,55,51,7.4,20,55,25,310,Rabi,Brinjal,Mustard,118,Low,2.35,0.162
Karimnagar,Telangana,17.481,77.8472,Clay,65,29,40,7.0,20,44,45,291,Zaid,Cotton,Rice,97,High,2.95,0.397
Darbhanga,Bihar,26.5271,86.7849,Black,26,13,40,7.4,20,34,36,351,Zaid,Rice,Maize,103,Medium,3.73,0.471
Coimbatore,Tamil Nadu,11.1703,77.9976,Alluvial,38,18,68,7.9,20,69,17,473,Rabi,Chilli,Tomato,100,Medium,24.43,0.441
Jalandhar,Punjab,30.7683,74.776,Alluvial,38,14,56,7.1,36,82,29,1838,Kharif,Tomato,Wheat,157,Medium,5.37,0.387
Kolkata,West Bengal,23.3685,88.2554,Red,23,45,18,6.8,20,35,35,148,Zaid,Potato,Chilli,120,Medium,0.82,0.431
Jalandhar,Punjab,31.7416,75.2552,Loamy,49,36,41,7.0,20,53,16,477,Rabi,Fallow,Potato,87,Medium,25.43,0.286
Varanasi,Uttar Pradesh,27.2864,78.5766,Black,48,11,70,8.0,20,59,12,325,Rabi,Maize,Chilli,137,Medium,1.16,0.8
Bhubaneswar,Odisha,18.0736,83.576,Alluvial,63,30,39,7.9,26,87,35,1325,Kharif,Fallow,Sugarcane,303,Very High,80.61,0.404
Tiruchirappalli,Tamil Nadu,10.892,79.4546,Alluvial,65,14,15,6.8,36,72,40,1806,Kharif,Chilli,Cotton,201,Low,1.87,0.608
Varanasi,Uttar Pradesh,24.6344,77.8956,Alluvial,77,31,56,7.9,30,77,28,1527,Kharif,Mustard,Sugarcane,339,Very High,122.18,0.316
Coimbatore,Tamil Nadu,9.1622,77.3872,Sandy,67,35,50,8.7,20,46,25,584,Rabi,Tomato,Onion,148,Medium,12.27,0.425
Warangal,Telangana,18.6748,79.3723,Red,68,36,25,5.9,20,35,40,383,Zaid,Fallow,Groundnut,97,Low,1.5,0.283
Patna,Bihar,25.586,87.9233,Laterite,38,52,65,5.2,20,52,34,171,Zaid,Brinjal,Soybean,106,Medium,1.68,0.44
Vadodara,Gujarat,24.0055,71.874,Black,43,13,67,8.4,35,87,32,1479,Kharif,Brinjal,Sugarcane,360,Very High,84.69,0.472
Rourkela,Odisha,18.1696,81.8477,Alluvial,75,43,55,7.7,20,47,38,155,Zaid,Sugarcane,Cauliflower,94,High,13.13,0.699
Mysuru,Karnataka,17.3854,75.1597,Alluvial,34,19,66,7.1,20,92,31,993,Kharif,Mustard,Cauliflower,113,High,19.29,0.651
Ahmedabad,Gujarat,22.9829,71.5217,Laterite,22,46,15,5.9,26,75,30,1313,Kharif,Mustard,Chilli,131,Medium,1.58,0.534
Kochi,Kerala,9.8282,76.4061,Sandy,62,40,19,9.0,20,69,20,511,Rabi,Tomato,Mustard,124,Low,1.22,0.236
Gaya,Bihar,26.2626,83.5092,Black,46,45,59,8.0,20,47,35,301,Zaid,Fallow,Soybean,115,Medium,2.17,0.285
Jaipur,Rajasthan,27.3324,76.8332,Laterite,60,52,28,5.4,20,43,12,299,Rabi,Cauliflower,Groundnut,111,Low,1.36,0.8
Ajmer,Rajasthan,24.7704,74.261,Alluvial,80,51,18,7.5,20,48,21,408,Rabi,Chilli,Soybean,93,Medium,3.0,0.421
Hisar,Haryana,29.7199,76.4616,Loamy,54,51,38,7.2,20,93,32,852,Kharif,Groundnut,Cauliflower,102,High,15.68,0.406
Ajmer,Rajasthan,25.6697,72.8903,Alluvial,74,23,25,6.6,20,60,18,345,Rabi,Cotton,Soybean,93,Medium,2.75,0.401
Jalandhar,Punjab,31.9297,75.9049,Alluvial,39,50,47,7.8,20,41,30,178,Zaid,Cabbage,Rice,124,High,5.56,0.479
Siliguri,West Bengal,23.6757,88.2122,Loamy,44,10,60,6.9,27,94,28,1370,Kharif,Onion,Maize,84,Medium,5.49,0.374
Darbhanga,Bihar,26.6238,84.599,Alluvial,30,53,63,7.4,20,32,29,189,Zaid,Tomato,Potato,88,Medium,22.16,0.273
Tiruchirappalli,Tamil Nadu,9.6701,77.733,Black,36,32,58,7.5,43,71,29,1831,Kharif,Mustard,Soybean,100,Medium,2.83,0.334
Nellore,Andhra Pradesh,14.3417,80.0071,Alluvial,77,22,43,6.8,24,79,36,1247,Kharif,Onion,Mustard,124,Low,1.08,0.58
Mysuru,Karnataka,18.2924,76.518,Alluvial,51,31,44,6.8,28,92,31,1449,Kharif,Cotton,Soybean,94,Medium,2.62,0.274
Bengaluru,Karnataka,17.2471,76.7184,Laterite,56,13,44,5.4,20,48,42,354,Zaid,Maize,Chilli,122,Medium,0.9,0.791
Meerut,Uttar Pradesh,27.4052,77.0918,Sandy,64,41,31,8.2,20,60,29,161,Zaid,Fallow,Cauliflower,80,High,10.25,0.492
Allahabad,Uttar Pradesh,28.3524,82.1756,Loamy,58,39,35,6.2,20,35,27,327,Zaid,Wheat,Cotton,175,Low,2.26,0.657
Ajmer,Rajasthan,29.946,74.6743,Alluvial,28,31,33,7.2,20,41,19,420,Rabi,Sugarcane,Potato,95,Medium,35.95,0.321
Bhagalpur,Bihar,25.6131,86.566,Sandy,68,10,64,7.5,20,95,33,849,Kharif,Groundnut,Cauliflower,85,High,10.89,0.634
Jodhpur,Rajasthan,25.6924,74.4382,Sandy,35,33,15,8.6,24,87,20,1542,Kharif,Fallow,Potato,88,Medium,14.49,0.596
Howrah,West Bengal,23.1331,87.6063,Alluvial,62,13,32,7.7,20,90,27,847,Kharif,Cauliflower,Potato,117,Medium,23.34,0.292
Chennai,Tamil Nadu,10.1659,79.8611,Loamy,73,47,49,6.1,20,54,43,163,Zaid,Maize,Mustard,107,Low,1.17,0.526
Karnal,Haryana,29.8294,77.3349,Clay,41,14,35,6.3,20,46,19,448,Rabi,Cotton,Potato,87,Medium,30.5,0.309
Gurugram,Haryana,30.0178,77.3164,Alluvial,74,44,38,7.6,33,87,22,1668,Kharif,Chilli,Onion,147,Medium,19.64,0.262
Vadodara,Gujarat,21.086,73.1449,Black,73,33,31,8.1,20,33,38,281,Zaid,Cabbage,Soybean,91,Medium,1.71,0.505
Amritsar,Punjab,29.8553,75.4741,Alluvial,33,21,67,7.8,20,33,33,101,Zaid,Cauliflower,Soybean,92,Medium,1.52,0.416
Cuttack,Odisha,17.511,83.6308,Black,43,54,21,7.8,43,74,32,1808,Kharif,Groundnut,Sugarcane,313,Very High,115.11,0.288
Hisar,Haryana,28.1823,76.6427,Sandy,51,19,56,7.5,20,51,25,119,Zaid,Maize,Groundnut,98,Low,1.28,0.619
Howrah,West Bengal,26.2893,87.4462,Alluvial,80,14,36,6.5,24,77,26,1222,Kharif,Tomato,Onion,128,Medium,28.63,0.465
Nashik,Maharashtra,21.1073,76.2643,Black,32,42,22,7.7,20,39,36,371,Zaid,Rice,Sugarcane,352,Very High,78.54,0.364
Gurugram,Haryana,29.2749,77.3118,Loamy,61,19,30,7.4,26,76,24,1324,Kharif,Sugarcane,Wheat,158,Medium,5.47,0.365
Madurai,Tamil Nadu,10.4212,78.5072,Red,58,54,27,6.0,20,70,25,290,Rabi,Groundnut,Maize,100,Medium,6.3,0.425
Ajmer,Rajasthan,28.2525,74.1648,Black,62,11,39,8.0,20,31,36,369,Zaid,Rice,Cotton,160,Low,2.17,0.537
Warangal,Telangana,18.946,79.1869,Loamy,59,17,42,7.3,20,75,38,844,Kharif,Brinjal,Tomato,116,Medium,32.49,0.492
Bhagalpur,Bihar,26.812,84.686,Red,42,14,59,6.0,20,95,27,1305,Kharif,Fallow,Chilli,123,Medium,3.39,0.49
Vijayawada,Andhra Pradesh,14.3593,82.8597,Sandy,30,40,43,8.1,20,63,28,512,Rabi,Cauliflower,Mustard,109,Low,1.06,0.296
Kurnool,Andhra Pradesh,17.5303,81.3047,Sandy,71,28,33,8.9,22,93,29,1422,Kharif,Chilli,Groundnut,91,Low,1.34,0.456
Gwalior,Madhya Pradesh,22.3751,80.3343,Mountain,58,18,69,5.4,20,30,38,233,Zaid,Cotton,Mustard,119,Low,1.16,0.67
Patna,Bihar,25.3367,87.9112,Alluvial,21,21,62,7.1,20,68,23,580,Rabi,Fallow,Onion,146,Medium,23.3,0.223
Jodhpur,Rajasthan,23.3608,72.7059,Alluvial,32,58,52,7.8,20,36,40,386,Zaid,Cotton,Wheat,150,Medium,4.15,0.303
Siliguri,West Bengal,26.0724,88.1187,Black,40,58,23,7.6,20,66,15,344,Rabi,Soybean,Onion,139,Medium,20.75,0.35
Jabalpur,Madhya Pradesh,23.2268,74.3555,Clay,45,49,62,7.1,20,46,39,374,Zaid,Fallow,Cotton,191,Low,2.46,0.312
Lucknow,Uttar Pradesh,27.0044,83.7373,Sandy,46,43,45,8.5,20,53,12,600,Rabi,Brinjal,Onion,148,Medium,13.69,0.412
Jodhpur,Rajasthan,26.3331,71.9653,Sandy,37,35,39,8.1,20,43,26,337,Zaid,Rice,Tomato,94,Medium,18.05,0.524
Kolkata,West Bengal,21.6376,86.8251,Clay,67,44,20,6.2,20,30,36,116,Zaid,Cotton,Rice,95,High,3.54,0.372
Nagpur,Maharashtra,20.381,80.1877,Black,28,22,15,7.2,20,44,34,106,Zaid,Cauliflower,Cotton,181,Low,1.93,0.705
Kolkata,West Bengal,25.1073,87.2134,Red,56,42,39,6.0,20,45,32,105,Zaid,Cabbage,Onion,133,Medium,9.76,0.519
Bhopal,Madhya Pradesh,24.7307,76.9082,Alluvial,38,28,46,7.2,26,89,31,1307,Kharif,Brinjal,Potato,89,Medium,24.66,0.455
Allahabad,Uttar Pradesh,24.5028,82.8586,Alluvial,33,23,35,7.7,20,47,21,340,Rabi,Fallow,Cabbage,98,High,22.69,0.456
Mumbai,Maharashtra,21.6773,76.6555,Loamy,51,54,35,6.2,20,46,35,375,Zaid,Brinjal,Mustard,113,Low,0.81,0.44
Muzaffarpur,Bihar,24.7186,84.3291,Sandy,42,11,50,7.5,22,84,27,1395,Kharif,Chilli,Mustard,112,Low,1.08,0.394
Mysuru,Karnataka,15.9964,75.635,Alluvial,70,14,68,7.5,20,38,35,247,Zaid,Onion,Soybean,99,Medium,1.85,0.333
Bhopal,Madhya Pradesh,26.0742,82.0638,Black,52,59,41,7.9,20,60,18,242,Rabi,Wheat,Maize,97,Medium,4.7,0.393
Jodhpur,Rajasthan,27.0089,70.7737,Loamy,63,23,60,6.7,20,58,32,146,Zaid,Rice,Wheat,171,Medium,2.67,0.46
Hubballi,Karnataka,15.6214,74.1827,Red,49,48,62,6.1,20,47,30,427,Rabi,Cauliflower,Groundnut,99,Low,2.36,0.464
Jalandhar,Punjab,31.9403,74.5887,Black,63,51,44,7.6,42,74,21,1760,Kharif,Mustard,Soybean,112,Medium,4.26,0.492
Darbhanga,Bihar,24.4212,86.1395,Laterite,48,16,19,4.9,20,39,39,275,Zaid,Cabbage,Potato,110,Medium,9.42,0.752
Mysuru,Karnataka,18.1528,74.0931,Sandy,38,52,31,7.8,20,46,20,418,Rabi,Wheat,Cabbage,103,High,25.0,0.27
Bardhaman,West Bengal,25.8526,86.4128,Black,28,58,60,8.0,20,40,20,515,Rabi,Groundnut,Wheat,121,Medium,5.22,0.18
Indore,Madhya Pradesh,23.256,81.2762,Sandy,21,59,54,8.7,20,34,38,194,Zaid,Rice,Cauliflower,84,High,6.8,0.595
Bhagalpur,Bihar,25.1132,84.7238,Alluvial,69,47,21,6.7,22,84,21,1136,Kharif,Mustard,Maize,100,Medium,6.23,0.272
Muzaffarpur,Bihar,27.1137,85.2148,Black,60,31,41,8.3,20,42,37,392,Zaid,Maize,Cotton,155,Low,1.94,0.473
Lucknow,Uttar Pradesh,28.698,78.9773,Sandy,65,40,42,8.4,20,61,12,529,Rabi,Fallow,Cabbage,93,High,18.4,0.245
Kanpur,Uttar Pradesh,24.8202,81.3702,Loamy,58,43,33,6.5,20,53,23,509,Rabi,Cabbage,Wheat,126,Medium,6.12,0.321
Madurai,Tamil Nadu,12.3684,77.2041,Black,73,29,19,8.1,23,73,36,998,Kharif,Mustard,Cotton,184,Low,1.85,0.549
Surat,Gujarat,22.817,71.0632,Black,62,34,65,8.4,20,43,35,313,Zaid,Groundnut,Wheat,129,Medium,2.58,0.657
Faridabad,Haryana,29.0589,76.1966,Black,30,32,54,8.2,20,54,22,274,Rabi,Cauliflower,Cotton,209,Low,1.0,0.789
Visakhapatnam,Andhra Pradesh,13.9446,77.4093,Alluvial,65,39,42,6.9,20,84,36,883,Kharif,Tomato,Soybean,112,Medium,2.83,0.453
Cuttack,Odisha,22.0668,84.1626,Alluvial,29,22,36,7.9,20,64,23,358,Rabi,Maize,Cotton,170,Low,2.46,0.329
Belagavi,Karnataka,18.1174,75.9433,Red,69,49,33,6.1,20,78,29,968,Kharif,Brinjal,Maize,104,Medium,7.49,0.231
Nizamabad,Telangana,18.6174,80.7049,Alluvial,68,26,48,7.4,20,50,26,284,Rabi,Maize,Soybean,114,Medium,2.83,0.56
Jaipur,Rajasthan,24.0819,70.395,Alluvial,34,34,70,7.8,20,51,25,247,Rabi,Mustard,Potato,109,Medium,26.51,0.494
Belagavi,Karnataka,17.7383,76.097,Loamy,40,23,38,7.1,20,58,24,223,Rabi,Rice,Maize,89,Medium,3.86,0.503
Nizamabad,Telangana,17.5901,77.5862,Alluvial,23,37,23,6.6,20,42,22,428,Rabi,Tomato,Soybean,111,Medium,2.86,0.34
Belagavi,Karnataka,12.0161,77.4836,Loamy,64,32,69,7.0,32,76,38,1614,Kharif,Potato,Maize,93,Medium,4.54,0.666
Visakhapatnam,Andhra Pradesh,15.787,83.881,Alluvial,62,43,50,7.7,20,49,40,326,Zaid,Fallow,Rice,143,High,3.53,0.472
Guntur,Andhra Pradesh,14.685,80.2833,Red,40,11,22,6.9,22,86,38,1435,Kharif,Potato,Chilli,144,Medium,1.9,0.636
Allahabad,Uttar Pradesh,29.7546,77.6211,Sandy,36,23,30,8.2,20,38,29,279,Zaid,Rice,Maize,80,Medium,2.55,0.541
Jodhpur,Rajasthan,28.821,76.2584,Alluvial,53,44,60,7.7,20,44,29,313,Zaid,Cauliflower,Groundnut,93,Low,1.7,0.331
